seller_id,seller_name,region_id,shop_url,extracted_link
8648282503332070873,tinacon colored lens,VN,https://echotik.live/shops/8648282503332070873,https://www.tiktok.com/@tinaconvn5
7496093911528803137,lishu Beauty,MY,https://echotik.live/shops/7496093911528803137,https://www.tiktok.com/@lishubeauty.my
8647057448328071091,ShenzhenchaobaoTechnonlogy,PH,https://echotik.live/shops/8647057448328071091,https://www.tiktok.com/@shenzhenchaobaote
8646920629462468007,Tsfitland Clothing,TH,https://echotik.live/shops/8646920629462468007,https://www.tiktok.com/@tsfitlandth
7494726277776640165,Olevs.Offcial.MY,MY,https://echotik.live/shops/7494726277776640165,https://www.tiktok.com/@olevs.official.my
8647493214046029042,KawasakiSportsofficial,TH,https://echotik.live/shops/8647493214046029042,https://www.tiktok.com/@kawasaki.store0
8647291231478777625,VISTALOOL,PH,https://echotik.live/shops/8647291231478777625,https://www.tiktok.com/@vistalool
7496033618563729638,LLS-shop,VN,https://echotik.live/shops/7496033618563729638,https://www.tiktok.com/@llsshop.vn
8646925116288500833,Thursday441,TH,https://echotik.live/shops/8646925116288500833,https://www.tiktok.com/@thursday441
7495343272072284314,CT Store.PH,PH,https://echotik.live/shops/7495343272072284314,https://www.tiktok.com/@znp.ph
8648064658419910390,3C Treasure House Philippines,PH,https://echotik.live/shops/8648064658419910390,https://www.tiktok.com/@funnyphonecasestoreph
8646920629830846311,fallsweetap,MY,https://echotik.live/shops/8646920629830846311,https://www.tiktok.com/@loveletter909
8646922486332754579,XtepOfficialStore,TH,https://echotik.live/shops/8646922486332754579,https://www.tiktok.com/@xtep_official_thailand
7495370752944278051,YL Glasses,MY,https://echotik.live/shops/7495370752944278051,https://www.tiktok.com/@ylglasses
8648040094361748830,Digital Boutique Gallery,MY,https://echotik.live/shops/8648040094361748830,https://www.tiktok.com/@tick.tockx
8646932708285777859,BUBUYAflagship store-PH,PH,https://echotik.live/shops/8646932708285777859,https://www.tiktok.com/@bubuya_top
8647470253053216412,LFrees,TH,https://echotik.live/shops/8647470253053216412,https://www.tiktok.com/@lfreeslao
7495075279677721330,LISA PAJAMAS SHOP,PH,https://echotik.live/shops/7495075279677721330,https://www.tiktok.com/@lisapajamas7
8647311098980567425,JOYKIDDO-TH,TH,https://echotik.live/shops/8647311098980567425,https://www.tiktok.com/@joykiddokidsfashion
7494742839472130733,David Jones Paris,TH,https://echotik.live/shops/7494742839472130733,https://www.tiktok.com/@davidjones_live
8647125522456610928,WOSADO.SG,SG,https://echotik.live/shops/8647125522456610928,https://www.tiktok.com/@wosado.singapore
8646920629834253943,Home Living Shop One,PH,https://echotik.live/shops/8646920629834253943,https://www.tiktok.com/@homelivingshopping
8648391923690145586,ROUND LAB PHILIPPINES,PH,https://echotik.live/shops/8648391923690145586,https://www.tiktok.com/@roundlab.philippines
7495618919830358016,Dainnyy,TH,https://echotik.live/shops/7495618919830358016,https://www.tiktok.com/@shuzi168
