seller_id,seller_name,cover_url,category,region_id,region_name,avg_price,total_sale_gmv_amt,total_sale_count,total_product_cnt,is_s_shop
8648712840885405479,Mcwalk-Umi store,https://cdn.echotik.shop/3aa62feb8272e46720683db9b8d22d37/687e12b1/seller-cover/44/8648712840885405479.png,Shoes,TH,Thailand,N/A,N/A,N/A,N/A,0
8649207063257974432,VAVIEY,https://cdn.echotik.shop/e9d550163d36b807619110a00785a78f/687e12b1/seller-cover/38/8649207063257974432.png,Computers & Office Equipment,VN,Vietnam,N/A,N/A,N/A,N/A,0
8647120806015635912,HEIZE Beauty,https://cdn.echotik.shop/951dad880f9e85556134c738f3cdebeb/687e12b1/seller-cover/102/8647120806015635912.png,Womenswear & Underwear,US,United States,N/A,N/A,N/A,N/A,1
7495204623897954431,Ilya costume,https://cdn.echotik.shop/c160de770ffecbf6816ccc7bcbacd8c2/687e12b1/seller-cover/874/7495204623897954431.webp,Womenswear & Underwear,GB,UK,N/A,N/A,N/A,N/A,1
8646922166647687457,bornprettyVN,https://cdn.echotik.shop/c8d2eb3a86d67935737cf8cdaaf2d332/687e12b1/seller-cover/94/8646922166647687457.png,Beauty & Personal Care,VN,Vietnam,N/A,N/A,N/A,N/A,0
8647555990301672944,CoveralKlors,https://cdn.echotik.shop/d7e7cd30e4ca9efff8475c9d9e1e1258/687e12b3/seller-cover/672/8647555990301672944.png,Luggage & Bags,VN,Vietnam,N/A,N/A,N/A,N/A,0
7495864057242683917,Graceful Garden,https://cdn.echotik.shop/db52054e7e9f537e8b6c894cffbb8010/687e12b3/seller-cover/137/7495864057242683917.webp,Beauty & Personal Care,US,United States,N/A,N/A,N/A,N/A,0
8646920535863362725,Olevs.Offcial.PH,https://cdn.echotik.shop/fa588eed756932d77ff564f896c3a2cb/687e12b3/seller-cover/416/8646920535863362725.png,Fashion Accessories,PH,Philippines,N/A,N/A,N/A,N/A,0
8647201447772587547,Chic.Case.VN,https://cdn.echotik.shop/08a39b622a9ef43052a1e38bb857f954/687e12b3/seller-cover/17/8647201447772587547.png,Phones & Electronics,VN,Vietnam,N/A,N/A,N/A,N/A,0
8647201445879121093,Men's Basic,https://cdn.echotik.shop/adce2a65c8b9860f6af28030f58c5f74/687e12b3/seller-cover/945/8647201445879121093.png,Menswear & Underwear,PH,Philippines,N/A,N/A,N/A,N/A,0
8646922913026705121,Cocotaya,https://cdn.echotik.shop/1d3623e73147b06f72ff246ee0ea8f58/687e12b3/seller-cover/346/8646922913026705121.png,Luggage & Bags,VN,Vietnam,N/A,N/A,N/A,N/A,0
7496130552054319560,Cell Phone Case Story,https://cdn.echotik.shop/9e8be2a337865216a0e93e78e8b25568/687e12b3/seller-cover/965/7496130552054319560.png,Phones & Electronics,US,United States,N/A,N/A,N/A,N/A,0
8646969730681570418,Hanvey Mall.PH,https://cdn.echotik.shop/2272b99143e9e7b5acee442dffdb37c7/687e12b3/seller-cover/604/8646969730681570418.png,Phones & Electronics,PH,Philippines,N/A,N/A,N/A,N/A,0
7495161750322710615,Fahotnini,https://cdn.echotik.shop/cee1a0b9f04f299279159f278ab80e9c/687e12b3/seller-cover/1016/7495161750322710615.webp,Womenswear & Underwear,GB,UK,N/A,N/A,N/A,N/A,1
7495153276767931031,Rusttydustty,https://cdn.echotik.shop/8bfad9bc56639eb03ecd21c3af937ad4/687e12b3/seller-cover/300/7495153276767931031.webp,Womenswear & Underwear,GB,UK,N/A,N/A,N/A,N/A,1
7495985998092077957,dabria-US,https://cdn.echotik.shop/b957dfbb5fa4bec1ad009a49eb0ee83d/687e12b3/seller-cover/537/7495985998092077957.webp,Luggage & Bags,US,United States,N/A,N/A,N/A,N/A,0
